date,feature_index,NO2
2020-06-25T00:00:00.000Z,0,4.96904303872725E-5
2020-06-22T00:00:00.000Z,0,2.9734444979112595E-5
2020-06-07T00:00:00.000Z,0,
2020-06-10T00:00:00.000Z,0,3.29461763612926E-5
2020-06-09T00:00:00.000Z,0,5.980204514344223E-5
2020-06-04T00:00:00.000Z,0,2.8431577447918244E-5
2020-06-06T00:00:00.000Z,0,
2020-06-05T00:00:00.000Z,0,1.730676331135328E-5
2020-06-08T00:00:00.000Z,0,2.842164394678548E-5
2020-06-03T00:00:00.000Z,0,1.6305584722431377E-5
2020-08-02T00:00:00.000Z,0,3.530746380420169E-5
2020-08-05T00:00:00.000Z,0,9.062695608008653E-5
2020-08-01T00:00:00.000Z,0,
2020-07-29T00:00:00.000Z,0,
2020-07-31T00:00:00.000Z,0,3.302231471025152E-5
2020-08-03T00:00:00.000Z,0,3.093880968663143E-5
2020-07-30T00:00:00.000Z,0,3.3669166441541165E-5
2020-08-04T00:00:00.000Z,0,6.794188084313646E-5
2020-06-30T00:00:00.000Z,0,
2020-06-27T00:00:00.000Z,0,3.738655686902348E-5
2020-07-01T00:00:00.000Z,0,3.9853584894444793E-5
2020-06-28T00:00:00.000Z,0,2.3868325115472544E-5
2020-07-02T00:00:00.000Z,0,2.052628406090662E-5
2020-07-03T00:00:00.000Z,0,2.7545460397959687E-5
2020-06-29T00:00:00.000Z,0,2.3494685592595488E-5
2020-07-04T00:00:00.000Z,0,2.3623560991836712E-5
2020-11-04T00:00:00.000Z,0,
2020-11-08T00:00:00.000Z,0,3.060350809391821E-5
2020-11-02T00:00:00.000Z,0,
2020-11-06T00:00:00.000Z,0,2.2329187231662218E-5
2020-11-03T00:00:00.000Z,0,
2020-11-07T00:00:00.000Z,0,5.0950799050042406E-5
2020-11-09T00:00:00.000Z,0,5.825655898661353E-5
2020-11-05T00:00:00.000Z,0,
2020-09-27T00:00:00.000Z,0,3.022638520633336E-5
2020-09-30T00:00:00.000Z,0,9.925049198500346E-6
2020-09-23T00:00:00.000Z,0,2.3670356313232332E-5
2020-09-24T00:00:00.000Z,0,2.9846057259419467E-5
2020-09-25T00:00:00.000Z,0,3.239790112274932E-5
