date,NO2
2020-11-07,5.0950799050042406e-05
2020-11-09,5.825655898661353e-05
2020-11-05,4.4241472096473444e-05
2020-09-27,3.022638520633336e-05
2020-09-30,9.925049198500346e-06
2020-09-23,2.367035631323233e-05
2020-09-24,2.9846057259419467e-05
2020-09-25,3.239790112274932e-05
2020-09-26,3.2758423913037404e-05
2020-09-28,1.6210050489462446e-05
2020-09-29,3.580267002689652e-05
2020-12-29,3.6653957977250684e-05
2021-01-02,3.750524592760485e-05
2020-12-30,3.835653387795901e-05
2021-01-01,3.920782182831317e-05
2021-01-03,3.955925603804644e-05
2021-01-04,3.991069024777971e-05
2020-12-28,4.026212445751298e-05
2020-12-31,4.061355866724625e-05
2020-08-12,1.886181598820258e-05
2020-08-07,5.604451143881306e-05
2020-08-09,1.6168979982467135e-05
2020-08-06,3.969694807892665e-05
2020-08-11,3.028264472959563e-05
2020-08-10,3.6264158552512527e-05
2020-08-08,4.224567237542942e-05
2020-08-13,3.788414778682636e-05
2021-03-04,4.019873413199093e-05
2021-03-05,4.2513320477155506e-05
2021-03-03,4.482790682232007e-05
2021-03-08,4.7142493167484643e-05
2021-03-09,4.9457079512649216e-05
2021-03-02,4.964266114863373e-05
2021-03-06,4.982824278461825e-05
2021-03-07,5.001382442060276e-05
2020-12-07,5.019940605658727e-05
2020-12-06,5.038498769257179e-05
2020-12-11,5.05705693285563e-05
2020-12-10,5.0756150964540815e-05
2020-12-04,5.0941732600525334e-05
2020-12-08,5.1127314236509847e-05
2020-12-09,5.131289587249436e-05
2020-12-05,5.149847750847888e-05
2021-02-13,5.168405914446339e-05
2021-02-11,5.5271052588068414e-05
2021-02-08,5.885804603167344e-05
2021-02-06,6.244503947527846e-05
2021-02-12,6.603203291888349e-05
2021-02-07,6.961902636248851e-05
2021-02-09,7.320601980609354e-05
2021-02-10,7.679301324969856e-05
