NO2_t-1,NO2_t-2,NO2_t-3,NO2
2.602408533285863,2.041580577427594,1.482434229862715,8.67658483912237e-05
3.1618782603906204,2.600392734635547,2.04097372390374,9.553629570291378e-05
3.7213479874953777,3.1592048918434994,2.5995132179447666,8.979079120763345e-05
3.3548403604819708,3.718017049051452,3.1580527119857917,8.404528671235312e-05
2.9883327334685643,3.3519401949124252,3.7165922060268173,7.829978221707279e-05
2.6218251064551574,2.985863340773398,3.3506939730453666,7.255427772179246e-05
2.255317479441751,2.619786486634371,2.984795740063916,6.680877322651213e-05
1.888809852428344,2.253709632495344,2.6188975070824654,6.10632687312318e-05
1.5223022254149374,1.887632778356317,2.2529992741010147,5.531776423595147e-05
1.1557945984015305,1.52155592421729,1.8871010411195643,4.957225974067114e-05
0.789286971388124,1.155479070078263,1.5212028081381137,4.956178881085097e-05
0.7886190273208679,0.789402215939236,1.155304575156663,4.955131788103079e-05
0.7879510832536114,0.7887350569366405,0.7894063421752125,4.954084695121062e-05
0.7872831391863554,0.7880678979340444,0.7887395087018385,4.9530376021390445e-05
0.7866151951190993,0.7874007389314489,0.788072675228464,4.9519905091570266e-05
0.7859472510518428,0.7867335799288534,0.78740584175509,4.950943416175009e-05
0.7852793069845868,0.7860664209262574,0.786739008281716,4.9498963231929913e-05
0.7846113629173304,0.7853992619236619,0.7860721748083415,4.948849230210974e-05
0.7839434188500742,0.784732102921066,0.7854053413349674,4.947802137228957e-05
0.7832754747828182,0.7840649439184704,0.7847385078615929,4.946755044246939e-05
0.7826075307155618,0.7833977849158749,0.7840716743882189,4.9457079512649216e-05
0.7819395866483058,0.7827306259132789,0.7834048409148449,4.888776553949962e-05
0.7456228605024927,0.7820634669106834,0.7827380074414704,4.831845156635003e-05
0.7093061343566801,0.7457894254441426,0.7820711739680963,4.774913759320043e-05
0.6729894082108672,0.7095153839776023,0.7458148318212571,4.7694321983726697e-05
0.6694927024006089,0.6732413425110615,0.7095584896744183,4.763950637425296e-05
0.6659959965903506,0.6697487465361838,0.673302147527579,4.758469076477923e-05
0.6624992907800923,0.666256150561306,0.6698112557072494,4.7529875155305495e-05
0.659002584969834,0.6627635545864283,0.66632036388692,4.747505954583176e-05
0.6555058791595758,0.6592709586115506,0.6628294720665905,8.038000669330359e-05
2.7545233119939136,0.6557783626366729,0.659338580246261,3.5387385651119985e-05
-0.11557082592384127,2.7523287260125024,0.6558476884259314,4.108554639969952e-05
0.24791672787032307,-0.11439206136516689,2.7513750746629735,4.678370714827906e-05
0.6114042816644879,0.2486682691823079,-0.11394694363191915,4.757831720780814e-05
0.6620927194784726,0.6117285997297831,0.24893623762086722,4.837292726733722e-05
0.7127811572924568,0.662357461146319,0.6118194188736541,6.373411451932043e-05
1.692676359264319,0.7129863225628545,0.6624235767730713,7.909530177130363e-05
2.6725715612361802,1.6917298096954267,0.713027734672488,9.445648902328684e-05
3.6524667632080425,2.670473296827998,1.6912936600781567,6.818640486017101e-05
1.9766894287763708,3.6492167839605703,2.6695595854838245,4.19163206970552e-05
0.30091209434469995,1.9754090658914718,3.6478255108894935,3.839069977402687e-05
0.07601157267434251,0.30160134782237424,1.9748344996642764,3.4865078850998545e-05
-0.14888894899601454,0.07696516183572105,0.3018434884390599,3.1339457927970214e-05
-0.373789470666372,-0.14767102415093167,0.0773169099709396,2.7813837004941887e-05
